hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
8410e4ca754fd6bacf03ac5bae6b8863,KICK VAN LOON,NL,16,40.0,112.0,119.0,16.0,163 reps,254 reps,120 reps,46 reps,163.0,-1419.1872890888637,-1117.5,46.0,0.9274220542395585,0.3570121777965134,0.07924053893845551,1.8009299788024395,1.0,0.8617148429137513,1.652866030357993
a1122a13ffa3306b5b16a67e2dcb250f,EMILY BRODY,US,16,112.0,89.0,54.0,45.0,138 reps,262 reps,131 reps,37 reps,138.0,-1375.8533260632496,-1023.6641221374045,37.0,-0.048645970931934214,0.5512591248248854,0.09037111098201095,0.8846601559879775,1.0,0.8617148429137513,1.2311259481294863
5df9019097da12777c30d4999c43cc6b,CAROLYN KENNEY,US,17,95.0,89.0,63.0,58.0,143 reps,262 reps,130 reps,34 reps,143.0,-1375.8533260632496,-1031.5384615384614,34.0,0.1465676341023643,0.5512591248248854,0.08943707696436994,0.5792368817164902,1.0,0.8617148429137513,1.2033400223157789
fb72476555f86a6879c94984023395aa,REESE FLANNERY,US,17,70.0,70.0,92.0,74.0,151 reps,270 reps,125 reps,32 reps,151.0,-1335.0873015873015,-1072.8,32.0,0.45890940215724196,0.7339951416589835,0.08454273871193102,0.3756213655354987,1.0,0.8617148429137513,1.2749820049296652
d69b3b93e326e49e3c8492583ff459ef,MATILDA KEMP,AU,16,85.0,34.0,93.0,100.0,147 reps,284 reps,124 reps,30 reps,147.0,-1269.2731388329978,-1081.4516129032259,30.0,0.3027385181298031,1.0290108589774134,0.08351650649770995,0.17200584935450716,1.0,0.8617148429137513,1.2585327761536096
61b8c97846eb991762d2eedb92d80406,FRENKY VAN LOON,NL,16,55.0,62.0,136.0,61.0,157 reps,272 reps,115 reps,34 reps,157.0,-1325.2704831932774,-1166.0869565217392,34.0,0.6931657281984002,0.7779995868892524,0.07347727831511257,0.5792368817164902,1.0,0.8617148429137513,1.392684711693565
497df580d37c8167113dae94d6ffbd54,JENNA ABUZAINA,US,17,112.0,70.0,60.0,75.0,138 reps,270 reps,131 reps,32 reps,138.0,-1335.0873015873015,-1023.6641221374045,32.0,-0.048645970931934214,0.7339951416589835,0.09037111098201095,0.3756213655354987,1.0,0.8617148429137513,1.149550254724891
a0a931792da0f6e572152dd91c97c20b,IRATI MIGUEL,ES,16,67.0,61.0,72.0,118.0,152 reps,273 reps,130 reps,29 reps,152.0,-1320.4160125588696,-1031.5384615384614,29.0,0.4979521231641017,0.7997600268382878,0.08943707696436994,0.07019809126401137,1.0,0.8617148429137513,1.226051672471444
96cd69f84f98477cc4012ad1a3b8884e,ISABELLA JONES,US,17,83.0,94.0,90.0,55.0,148 reps,260 reps,125 reps,34 reps,148.0,-1386.436813186813,-1072.8,34.0,0.34178123913666286,0.5038180435314179,0.08454273871193102,0.5792368817164902,1.0,0.8617148429137513,1.239059568687877
f870b076b6c9cd69b5c45f82b836bfaa,NATALIE CERNA,CA,17,19.0,102.0,185.0,18.0,179 reps,257 reps,96 reps,45 reps,179.0,-1402.620900500278,-1396.875,45.0,1.5521055903493137,0.4312719542382932,0.04610179035423366,1.6991222207119439,1.0,0.8617148429137513,1.7938652318271975
eb8e9e598a7302404995be35393aa5ac,SOPHIE PRATER,AU,16,58.0,195.0,32.0,40.0,155 reps,222 reps,139 reps,38 reps,155.0,-1623.7548262548262,-964.7482014388489,38.0,0.6150802861846808,-0.5599734099770631,0.0973595669413394,0.9864679140784733,1.0,0.8617148429137513,1.146448432220609
2d7d89b78be651a203fb77157fd183ce,JAYCEE KRAFT,US,16,67.0,155.0,83.0,30.0,152 reps,238 reps,128 reps,42 reps,152.0,-1514.594837935174,-1047.65625,42.0,0.4979521231641017,-0.0706575711230957,0.08752522608451098,1.3936989464404566,1.0,0.8617148429137513,1.3388445240552447
694e5edccc3c50a0fbaf4a0bae1eb9c7,MARISSA SCALETTA,US,16,70.0,89.0,109.0,68.0,151 reps,262 reps,122 reps,33 reps,151.0,-1375.8533260632496,-1099.1803278688524,33.0,0.45890940215724196,0.5512591248248854,0.08141357163250286,0.4774291236259945,1.0,0.8617148429137513,1.2539676484739075
88378a0d5ba72c86946899f32b75e3f2,CAMPBELL MCCAFFERTY,US,16,45.0,126.0,111.0,65.0,160 reps,250 reps,122 reps,33 reps,160.0,-1441.8942857142856,-1099.1803278688524,33.0,0.8102938912189793,0.2552267775536462,0.08141357163250286,0.4774291236259945,1.0,0.8617148429137513,1.267805683921532
096a11d4577392242430aecccaa0cc4d,HAYES WILLARD,US,17,100.0,38.0,4.0,208.0,142 reps,282 reps,10:36,20 reps,142.0,-1278.275075987842,-636.0,20.0,0.10752491309550462,0.9886591651192684,0.13635483851179894,-0.8460717315504506,1.0,0.8617148429137513,0.9583316392077817
70dc304abe8e07051b8c048b0f9569ba,SAIGE BOULWARE,US,16,28.0,57.0,219.0,48.0,174 reps,274 reps,90 reps,36 reps,174.0,-1315.5969760166838,-1490.0,36.0,1.3568919853150152,0.821361631459228,0.035055540826159706,0.7828523978974818,1.0,0.8617148429137513,1.6107552317882226
17a3070b798b1d06e185ca3d1e243779,LILIANA WOJCIK MIRSKA,PL,16,22.0,34.0,213.0,85.0,177 reps,284 reps,90 reps,31 reps,177.0,-1269.2731388329978,-1490.0,31.0,1.4740201483355944,1.0290108589774134,0.035055540826159706,0.27381360744500294,1.0,0.8617148429137513,1.564689881809794
1e8a0b31c62ab2b65d3121e33cd772fa,LUCY LUND,AU,16,70.0,163.0,46.0,76.0,151 reps,235 reps,133 reps,32 reps,151.0,-1533.9300911854104,-1008.2706766917294,32.0,0.45890940215724196,-0.15732894045201762,0.09219704214431669,0.3756213655354987,1.0,0.8617148429137513,1.0540645602600112
1b8487c0464930cc3e2725e568181dad,GRY FLINK,FI,17,119.0,109.0,23.0,105.0,137 reps,255 reps,146 reps,30 reps,137.0,-1413.6218487394958,-918.4931506849316,30.0,-0.08768869193879392,0.38195957981682316,0.10284622286146285,0.17200584935450716,1.0,0.8617148429137513,1.003995582937251
183a54663c9461cb1fb8fe38cd164def,LOGAN SWAN,US,17,67.0,28.0,202.0,64.0,152 reps,288 reps,91 reps,33 reps,152.0,-1251.6443452380954,-1473.6263736263736,33.0,0.4979521231641017,1.108032926116277,0.036997738545381506,0.4774291236259945,1.0,0.8617148429137513,1.39181782077669
908089bfd89196455a1b3129642be9b2,MILLA JORASLAFSKY,AU,17,22.0,145.0,183.0,15.0,177 reps,241 reps,96 reps,46 reps,177.0,-1495.7409602845287,-1396.875,46.0,1.4740201483355944,0.013856004778548701,0.04610179035423366,1.8009299788024395,1.0,0.8617148429137513,1.6954418234814554
4b46e962f9d6ff6874fbd0a773da3205,GIANNA TATUM,US,17,85.0,105.0,96.0,80.0,147 reps,256 reps,124 reps,31 reps,147.0,-1408.099888392857,-1081.4516129032259,31.0,0.3027385181298031,0.40671208025885025,0.08351650649770995,0.27381360744500294,1.0,0.8617148429137513,1.128410020996593
daad9282c99b1a471aa64299efbdf154,MONAGHAN BRYDIE,US,17,100.0,75.0,65.0,130.0,142 reps,268 reps,130 reps,27 reps,142.0,-1345.0506396588485,-1031.5384615384614,27.0,0.10752491309550462,0.6893339136640827,0.08943707696436994,-0.13341742491698017,1.0,0.8617148429137513,1.0499344626154956
356c7800058d7f5f3a918dd298744d0e,KENZIE TOMPKINS,US,16,30.0,115.0,216.0,14.0,173 reps,253 reps,90 reps,46 reps,173.0,-1424.7967250141164,-1490.0,46.0,1.3178492643081554,0.33186756311200954,0.035055540826159706,1.8009299788024395,1.0,0.8617148429137513,1.7331404296759425
b1cc4e68a07ac90af34563656175cefb,HANNAH BASALYGA,US,17,42.0,121.0,143.0,70.0,162 reps,251 reps,113 reps,33 reps,162.0,-1436.14968696642,-1186.725663716814,33.0,0.8883793332326988,0.28097726725652283,0.07102916760785187,0.4774291236259945,1.0,0.8617148429137513,1.2911685658445182
66a054ceb8e6f7b3ee459556d4120da2,MONA HOLMAN,FI,16,76.0,82.0,156.0,62.0,149 reps,265 reps,106 reps,34 reps,149.0,-1360.2776280323449,-1265.0943396226414,34.0,0.38082396014352254,0.6210780746530078,0.061733275535470394,0.5792368817164902,1.0,0.8617148429137513,1.2724328909258742
1214e35c3622b5a4122969011832e43c,CLAUDIA RAMIREZ,MX,16,126.0,102.0,43.0,107.0,136 reps,257 reps,134 reps,30 reps,136.0,-1402.620900500278,-1000.7462686567164,30.0,-0.12673141294565363,0.4312719542382932,0.0930895681975333,0.17200584935450716,1.0,0.8617148429137513,1.0041238326249213
2850b6382860b3b22c7b5ca89a7f4250,SAVANNAH MAYTOM,AU,16,76.0,134.0,26.0,148.0,149 reps,245 reps,142 reps,25 reps,149.0,-1471.3206997084546,-944.3661971830985,25.0,0.38082396014352254,0.12332120785115568,0.09977722820191695,-0.3370329410979717,1.0,0.8617148429137513,0.9284372066884072
7ff8aa737d35c8c3647df8b06477edf8,KAREN MOTOLA,IL,16,189.0,47.0,33.0,115.0,121 reps,278 reps,138 reps,29 reps,121.0,-1296.6675231243576,-971.7391304347825,29.0,-0.7123722280485493,0.9062139776680974,0.09653032080848432,0.07019809126401137,1.0,0.8617148429137513,0.9518573833367623
d163abfebf306b102b5fd613627c6e89,MACY ENGLE,US,17,43.0,78.0,228.0,38.0,161 reps,267 reps,90 reps,39 reps,161.0,-1350.0882825040128,-1490.0,39.0,0.849336612225839,0.6667523938913796,0.035055540826159706,1.088275672168969,1.0,0.8617148429137513,1.5215698976918381
